VAR,STATION,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
0,MERREDIN,-31.48,118.28,r1i1p1,rcp26,CESM1-CAM5,2020-2039,26.38,34.41,26.84,18.12,26.1,32,20.73,35.38,34.27,31.1,27.15,22.28,19.19,17.31,17.84,21.79,25.94,30.58,33.76
0,MILDURA-AIRPORT,-34.24,142.09,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.91,32.7,24.76,17.41,24.79,30.08,19.74,33.58,33,28.74,25.27,20.27,17,16.87,18.36,21.16,24.81,28.41,31.52
0,MILES-CONSTANCE-STREET,-26.66,150.18,r1i1p1,rcp26,CESM1-CAM5,2020-2039,28.26,33.42,28.48,21.92,29.23,32.08,24.43,34.14,33.06,32.04,28.68,24.72,21.36,21.15,23.25,26.53,29.6,31.57,33.05
0,MORAWA-AIRPORT,-29.2,116.02,r1i1p1,rcp26,CESM1-CAM5,2020-2039,28.6,36.81,29.21,20.38,28.25,34.45,22.99,37.56,37.55,34.02,30.03,24.5,21.38,19.53,20.23,24.13,28.17,32.44,35.7
0,MOREE-AERO,-29.49,149.85,r1i1p1,rcp26,CESM1-CAM5,2020-2039,27.26,33.57,27.63,20.02,27.87,31.87,22.67,34.32,33.21,31.45,27.87,23.57,19.83,19.25,20.98,24.22,28.18,31.22,33.07
0,MORUYA-HEADS-PILOT-STATION,-35.91,150.15,r1i1p1,rcp26,CESM1-CAM5,2020-2039,21.21,24.14,22.12,17.95,20.64,23.34,19.07,24.66,24.77,23.76,22.51,20.08,18.09,17.56,18.19,19.45,21.05,21.44,23
0,MOUNT-GAMBIER-AERO,-37.75,140.77,r1i1p1,rcp26,CESM1-CAM5,2020-2039,19.93,25.33,20.76,14.82,18.77,23.63,16.2,25.94,26.66,23.63,20.95,17.68,14.83,14.54,15.07,16.45,18.63,21.21,23.53
0,NHILL-AERODROME,-36.31,141.65,r1i1p1,rcp26,CESM1-CAM5,2020-2039,23.24,31.05,23.7,15.84,22.35,28.5,17.98,31.92,31.83,27.59,24.04,19.47,15.55,15.5,16.49,18.57,22.32,26.16,29.48
0,NORMANTON-AIRPORT,-17.69,141.07,r1i1p1,rcp26,CESM1-CAM5,2020-2039,34.35,35.56,34.56,30.97,36.32,35.8,32.91,35.35,34.84,35.27,35.29,33.12,30.21,30.58,32.11,34.7,36.73,37.55,36.42
0,NORTH-SHIELDS-PORT-LINCOLN-AWS,-34.6,135.88,r1i1p1,rcp26,CESM1-CAM5,2020-2039,21.52,25.58,22.29,17.25,20.96,24.42,18.61,26.21,26.28,23.89,22.73,20.26,17.59,17.06,17.11,18.6,21.05,23.22,24.27
0,NOWRA-RAN-AIR-STATION-AWS,-34.95,150.54,r1i1p1,rcp26,CESM1-CAM5,2020-2039,22.79,26.94,23.39,18.26,22.57,25.71,19.86,27.57,27.28,25.63,23.95,20.6,18.23,17.76,18.8,20.86,22.91,23.93,25.96
0,NURIOOTPA-VITICULTURAL,-34.48,139.01,r1i1p1,rcp26,CESM1-CAM5,2020-2039,21.94,29.07,22.48,15.02,21.21,26.82,17.07,30.11,29.71,25.95,22.94,18.54,15.04,14.71,15.31,17.75,21.04,24.82,27.38
0,OODNADATTA-AIRPORT,-27.56,135.45,r1i1p1,rcp26,CESM1-CAM5,2020-2039,30.99,37.84,29.31,21.96,31.24,35.27,24.89,38.74,37.89,34.08,29.3,24.56,20.85,21.22,23.81,27.96,30.9,34.87,37.21
0,ORBOST,-37.69,148.47,r1i1p1,rcp26,CESM1-CAM5,2020-2039,20.65,25.4,21.38,16,19.84,23.96,17.35,26.41,26.38,23.95,21.69,18.51,15.9,15.58,16.51,17.82,19.8,21.9,23.68
